ID,Seção,Elemento/Campo,Conteúdo Atual (Site),Instruções para Andréa / Sugestão de Edição,Novo Conteúdo (Preencha aqui se quiser alterar)
ABOUT-01,Sobre Andréa,Badge da Seção,"Trajetória & Vocação",Etiqueta no topo da seção Sobre,
ABOUT-02,Sobre Andréa,Título da Seção,"Conheça Andréa Salgueiro",Título H2 principal da biografia,
ABOUT-03,Sobre Andréa,Subtítulo da Seção,"Da intensidade do mercado corporativo e da publicidade à consagração como terapeuta holística, guiando pessoas a se reencontrarem com a verdade da sua alma.",Resumo da transição de carreira,
ABOUT-04,Sobre Andréa,Parágrafo Biográfico 1,"Por muitos anos, construí minha carreira no dinâmico universo da Publicidade e Comunicação. Eu compreendia profundamente o comportamento humano, as narrativas e as aspirações sociais. No entanto, faltava a dimensão da alma — a resposta para o motivo pelo qual tantas pessoas bem-sucedidas continuavam sentindo um vazio interior e uma sensação constante de desalinhamento.",Histórico da carreira corporativa e publicidade,
ABOUT-05,Sobre Andréa,Parágrafo Biográfico 2,"A busca por respostas verdadeiras me conduziu à espiritualidade séria. Ao longo de mais de uma década dedicada ao Espiritismo, às formações em Reiki Usui, SVH (Serenity Vibration Healing) e à profundidade da Numerologia Cabalística e Vibracional, percebi que os números são a chave mestra que decodifica as leis cósmicas individuais.",Caminho espiritual e formações terapêuticas,
ABOUT-06,Sobre Andréa,Parágrafo Biográfico 3,"Hoje, atendo presencialmente em São Paulo e online consulentes espalhados pelo Brasil e pelo exterior. Minha missão não é adivinhar o futuro por curiosidade, mas proporcionar uma bússola terapêutica real para que você faça escolhas conscientes nos seus relacionamentos, negócios e vida pessoal.",Missão atual e propósito do trabalho,
ABOUT-07,Sobre Andréa,Citação sobre a Foto,"Os números não determinam um destino imutável; eles revelam o mapa das suas potências para que você exerça seu livre-arbítrio com sabedoria.",Frase de efeito em destaque sobre a foto da Andréa,
ABOUT-08,Sobre Andréa,Credencial 1 Título,"Mestre em Reiki",Caixa de credencial abaixo da foto,
ABOUT-09,Sobre Andréa,Credencial 1 Subtítulo,"Linhagem Usui Tradicional",Detalhe da credencial,
ABOUT-10,Sobre Andréa,Credencial 2 Título,"Vivência Espírita",Caixa de credencial abaixo da foto,
ABOUT-11,Sobre Andréa,Credencial 2 Subtítulo,"+10 anos de estudo doutrinário",Detalhe da credencial,
CALMA-01,Método C.A.L.M.A.,Título do Bloco,"O Exclusivo Método C.A.L.M.A.",Título da metodologia proprietária da Andréa,
CALMA-02,Método C.A.L.M.A.,Descrição do Bloco,"Metodologia proprietária criada por Andréa Salgueiro para transformar a análise dos números em paz de espírito e atitude prática no cotidiano:",Explicação do método,
CALMA-03,Método C.A.L.M.A.,Letra C - Título,"Clareza",Pilar 1 do método,
CALMA-04,Método C.A.L.M.A.,Letra C - Descrição,"Iluminar os números que regem seu destino para desmistificar dúvidas e angústias existenciais.",Significado do Pilar C,
CALMA-05,Método C.A.L.M.A.,Letra A1 - Título,"Acolhimento",Pilar 2 do método,
CALMA-06,Método C.A.L.M.A.,Letra A1 - Descrição,"Uma escuta sincera, sem julgamentos, onde sua dor e sua história são honradas com amor.",Significado do Pilar A,
CALMA-07,Método C.A.L.M.A.,Letra L - Título,"Liberação",Pilar 3 do método,
CALMA-08,Método C.A.L.M.A.,Letra L - Descrição,"Corte de padrões cármicos e crenças herdadas que impedem a sua prosperidade real.",Significado do Pilar L,
CALMA-09,Método C.A.L.M.A.,Letra M - Título,"Movimento",Pilar 4 do método,
CALMA-10,Método C.A.L.M.A.,Letra M - Descrição,"Definição de passos práticos alinhados ao seu Ano Pessoal. Saber a hora certa de agir.",Significado do Pilar M,
CALMA-11,Método C.A.L.M.A.,Letra A2 - Título,"Alinhamento",Pilar 5 do método,
CALMA-12,Método C.A.L.M.A.,Letra A2 - Descrição,"Harmonia entre o que sua alma deseja e o que suas atitudes diárias expressam no mundo.",Significado do Pilar A final,
CALMA-13,Método C.A.L.M.A.,Botão CTA do Bloco,"Quero Conhecer o Método e Agendar",Chamada para ação do bloco Sobre,
SERV-00,Serviços (Cabeçalho),Badge da Seção,"Consultas & Atendimentos Terapêuticos",Etiqueta no topo da seção de serviços,
SERV-01,Serviços (Cabeçalho),Título da Seção,"Caminhos de Autoconhecimento & Direcionamento",Título H2 principal de serviços,
SERV-02,Serviços (Cabeçalho),Subtítulo da Seção,"Seja para desbloquear sua carreira, harmonizar seu relacionamento ou encontrar o propósito da sua alma: escolha o atendimento ideal para o seu momento.",Apresentação dos atendimentos,
SRV-01A,Serviço 1 (Mapa Pessoal),Título,"Mapa Numerológico Pessoal",Nome do serviço mais procurado,
SRV-01B,Serviço 1 (Mapa Pessoal),Subtítulo,"O manual profundo da sua alma e propósito",Linha de apoio do serviço,
SRV-01C,Serviço 1 (Mapa Pessoal),Badge de Destaque,"Mais Procurado",Etiqueta destacada no card,
SRV-01D,Serviço 1 (Mapa Pessoal),Descrição,"Uma leitura completa e individualizada que analisa seus números de Destino, Missão, Alma, Personalidade e Ano Pessoal. Revela seus dons natos, desafios cármicos e ciclos de vida para tomar decisões com segurança.",Descrição detalhada do atendimento,
SRV-01E,Serviço 1 (Mapa Pessoal),Benefício 1,"Identificação do seu propósito e missão de vida",Tópico com ícone de check,
SRV-01F,Serviço 1 (Mapa Pessoal),Benefício 2,"Compreensão de bloqueios recorrentes e ciclos repetitivos",Tópico com ícone de check,
SRV-01G,Serviço 1 (Mapa Pessoal),Benefício 3,"Previsões e tendências para os seus próximos anos pessoais",Tópico com ícone de check,
SRV-01H,Serviço 1 (Mapa Pessoal),Benefício 4,"Consulta ao vivo (online ou SP) + gravação em áudio + PDF completo",Tópico com ícone de check,
SRV-01I,Serviço 1 (Mapa Pessoal),Duração,"1h40 a 2h de imersão",Tempo estimado da sessão,
SRV-01J,Serviço 1 (Mapa Pessoal),Formato,"Presencial em SP ou Online via Zoom / Meet",Local ou plataforma,
SRV-02A,Serviço 2 (Sinastria),Título,"Sinastria de Casal & Harmonização",Nome do serviço de relacionamento,
SRV-02B,Serviço 2 (Sinastria),Subtítulo,"Alinhamento vibracional a dois e clareza nos relacionamentos",Linha de apoio do serviço,
SRV-02C,Serviço 2 (Sinastria),Badge de Destaque,"Relacionamentos",Etiqueta no card,
SRV-02D,Serviço 2 (Sinastria),Descrição,"O cruzamento dos mapas do casal para compreender afinidades, potenciais desafios de convivência, linguagens de amor e acordos cármicos. Promove empatia mútua sem julgamentos.",Descrição detalhada,
SRV-02E,Serviço 2 (Sinastria),Benefício 1,"Mapeamento da dinâmica e desafios ocultos da relação",Tópico com ícone de check,
SRV-02F,Serviço 2 (Sinastria),Benefício 2,"Entendimento das necessidades emocionais de cada parceiro",Tópico com ícone de check,
SRV-02G,Serviço 2 (Sinastria),Benefício 3,"Orientações práticas para períodos de crise ou transição",Tópico com ícone de check,
SRV-02H,Serviço 2 (Sinastria),Benefício 4,"Harmonização energética para fortalecer o vínculo",Tópico com ícone de check,
SRV-02I,Serviço 2 (Sinastria),Duração,"2 horas de sessão",Tempo estimado,
SRV-02J,Serviço 2 (Sinastria),Formato,"Individual ou com o casal (Presencial ou Online)",Local ou plataforma,
SRV-03A,Serviço 3 (Empresarial),Título,"Numerologia Empresarial & Marcas",Nome do serviço para negócios,
SRV-03B,Serviço 3 (Empresarial),Subtítulo,"Prosperidade estratégica para sócios, empresas e lançamentos",Linha de apoio do serviço,
SRV-03C,Serviço 3 (Empresarial),Badge de Destaque,"Negócios & Carreira",Etiqueta no card,
SRV-03D,Serviço 3 (Empresarial),Descrição,"Análise vibracional do nome fantasia, razão social, data de fundação e compatibilidade entre sócios. Encontre o momento astrológico/numerológico perfeito para aberturas e novos projetos.",Descrição detalhada,
SRV-03E,Serviço 3 (Empresarial),Benefício 1,"Ajuste da vibração do nome da marca para atrair o público ideal",Tópico com ícone de check,
SRV-03F,Serviço 3 (Empresarial),Benefício 2,"Harmonia societária e identificação de pontos de atrito",Tópico com ícone de check,
SRV-03G,Serviço 3 (Empresarial),Benefício 3,"Escolha de datas favoráveis para lançamentos e contratos",Tópico com ícone de check,
SRV-03H,Serviço 3 (Empresarial),Benefício 4,"Diagnóstico das energias do ano comercial da empresa",Tópico com ícone de check,
SRV-03I,Serviço 3 (Empresarial),Duração,"2 sessões estratégicas + Dossiê",Tempo estimado,
SRV-03J,Serviço 3 (Empresarial),Formato,"Online ou Presencial corporativo em SP",Local ou plataforma,
SRV-04A,Serviço 4 (Nome Bebê),Título,"Estudo Numerológico de Nome para Bebê",Nome do serviço para gestantes/pais,
SRV-04B,Serviço 4 (Nome Bebê),Subtítulo,"O primeiro e maior presente energético para a vida do seu filho",Linha de apoio do serviço,
SRV-04C,Serviço 4 (Nome Bebê),Badge de Destaque,"Família & Gestantes",Etiqueta no card,
SRV-04D,Serviço 4 (Nome Bebê),Descrição,"Estudo detalhado das opções de nomes e sobrenomes para harmonizar a vibração que o bebê carregará por toda a vida, minimizando dívidas cármicas e potencializando talentos.",Descrição detalhada,
SRV-04E,Serviço 4 (Nome Bebê),Benefício 1,"Combinação harmônica com os sobrenomes da família",Tópico com ícone de check,
SRV-04F,Serviço 4 (Nome Bebê),Benefício 2,"Análise de ausência de números desafiadores no nome",Tópico com ícone de check,
SRV-04G,Serviço 4 (Nome Bebê),Benefício 3,"Equilíbrio entre a expressão social e o desejo íntimo da alma",Tópico com ícone de check,
SRV-04H,Serviço 4 (Nome Bebê),Benefício 4,"Relatório com as melhores combinações e significados",Tópico com ícone de check,
SRV-04I,Serviço 4 (Nome Bebê),Duração,"Estudo prévio + Reunião de 1h com os pais",Tempo estimado,
SRV-04J,Serviço 4 (Nome Bebê),Formato,"Online ou Presencial em SP",Local ou plataforma,
SRV-05A,Serviço 5 (Mentoria),Título,"Mentoria & Método C.A.L.M.A.",Nome do programa de acompanhamento,
SRV-05B,Serviço 5 (Mentoria),Subtítulo,"Clareza, Acolhimento, Liberação, Movimento e Alinhamento",Linha de apoio do serviço,
SRV-05C,Serviço 5 (Mentoria),Badge de Destaque,"Desenvolvimento Contínuo",Etiqueta no card,
SRV-05D,Serviço 5 (Mentoria),Descrição,"Programa terapêutico autoral de Andréa Salgueiro para quem busca transição de carreira, superação de crises emocionais e reencontro consigo mesmo com acompanhamento próximo.",Descrição detalhada,
SRV-05E,Serviço 5 (Mentoria),Benefício 1,"Aplicação sequencial do método estruturado de autoconhecimento",Tópico com ícone de check,
SRV-05F,Serviço 5 (Mentoria),Benefício 2,"Encontros quinzenais individualizados com exercícios práticos",Tópico com ícone de check,
SRV-05G,Serviço 5 (Mentoria),Benefício 3,"Suporte direto no WhatsApp para tirar dúvidas entre as sessões",Tópico com ícone de check,
SRV-05H,Serviço 5 (Mentoria),Benefício 4,"Integração entre espiritualidade prática e metas reais do cotidiano",Tópico com ícone de check,
SRV-05I,Serviço 5 (Mentoria),Duração,"Programa de 4 a 8 sessões",Tempo estimado,
SRV-05J,Serviço 5 (Mentoria),Formato,"Sessões semanais ou quinzenais",Local ou plataforma,
SRV-06A,Serviço 6 (Mesa Radiónica),Título,"Mesa Radiónica / Quântica & SVH",Nome da terapia vibracional,
SRV-06B,Serviço 6 (Mesa Radiónica),Subtítulo,"Limpeza energética profunda, desbloqueio e harmonização dos chacras",Linha de apoio do serviço,
SRV-06C,Serviço 6 (Mesa Radiónica),Badge de Destaque,"Terapia Vibracional",Etiqueta no card,
SRV-06D,Serviço 6 (Mesa Radiónica),Descrição,"Instrumento de cura vibracional que atua no campo quântico para despolarizar crenças limitantes, harmonizar frequências e transmutar energias densas que travam a prosperidade e a saúde emocional.",Descrição detalhada,
SRV-06E,Serviço 6 (Mesa Radiónica),Benefício 1,"Desbloqueio de nós energéticos em relacionamentos e finanças",Tópico com ícone de check,
SRV-06F,Serviço 6 (Mesa Radiónica),Benefício 2,"Alinhamento dos corpos sutis e dos 7 centros de força (chacras)",Tópico com ícone de check,
SRV-06G,Serviço 6 (Mesa Radiónica),Benefício 3,"Corte de cordões energéticos nocivos e ressonâncias pesadas",Tópico com ícone de check,
SRV-06H,Serviço 6 (Mesa Radiónica),Benefício 4,"Relatório com as frequências tratadas e orientações pós-mesa",Tópico com ícone de check,
SRV-06I,Serviço 6 (Mesa Radiónica),Duração,"Envio de relatório + Áudio explicativo",Tempo estimado,
SRV-06J,Serviço 6 (Mesa Radiónica),Formato,"Atendimento à distância com ancoramento em tempo real",Local ou plataforma,
CALC-01,Calculadora de Destino,Badge da Seção,"Experiência Interativa Gratuita",Etiqueta no topo da ferramenta interativa,
CALC-02,Calculadora de Destino,Título da Seção,"Descubra Seu Número de Destino Agora",Título H2 da calculadora,
CALC-03,Calculadora de Destino,Subtítulo da Seção,"Insira sua data de nascimento para calcular a vibração central que rege a sua caminhada nesta vida.",Instrução da ferramenta,
CALC-04,Calculadora de Destino,Texto Botão Calcular,"Revelar Meu Número de Destino",Botão de cálculo,
CALC-05,Calculadora de Destino,Chamada para Aprofundamento,"Este cálculo revela apenas a ponta do iceberg do seu mapa. No Mapa Numerológico Pessoal completo, analisamos mais de 20 números.",Frase de incentivo para agendar a consulta completa,
DIF-01,Diferenciais / Comparativo,Badge da Seção,"Diferencial Competitivo & Humanização",Etiqueta no topo do comparativo,
DIF-02,Diferenciais / Comparativo,Título da Seção,"A Diferença Entre um Encontro Terapêutico Real e Textos de Computador",Título H2 da seção comparativa,
DIF-03,Diferenciais / Comparativo,Subtítulo da Seção,"A internet está repleta de sites que geram PDFs em segundos com inteligência artificial. Descubra por que quem busca transformação de vida escolhe ser ouvido por um ser humano capacitado.",Contexto sobre a importância da humanização,
DIF-04,Diferenciais / Comparativo,Critério 1 - Tema,"Profundidade & Empatia",Nome do critério 1,
DIF-05,Diferenciais / Comparativo,Critério 1 - Com Andréa,"Atendimento 100% humanizado, escuta terapêutica acolhedora e sensibilidade espiritual desenvolvida há mais de uma década.",Vantagem da consulta com Andréa,
DIF-06,Diferenciais / Comparativo,Critério 1 - Com Robôs/IA,"Textos frios gerados por algoritmos genéricos, cópias rasas sem nenhuma conexão com sua dor real.",Desvantagem dos apps automáticos,
DIF-07,Diferenciais / Comparativo,Critério 2 - Tema,"Interpretação do Histórico",Nome do critério 2,
DIF-08,Diferenciais / Comparativo,Critério 2 - Com Andréa,"Conecta os números com suas vivências reais, infância, desafios familiares e momentos de virada pessoal.",Vantagem da consulta com Andréa,
DIF-09,Diferenciais / Comparativo,Critério 2 - Com Robôs/IA,"Listas de adjetivos genéricos ('você é criativo mas às vezes teimoso') que cabem em qualquer pessoa.",Desvantagem dos apps automáticos,
DIF-10,Diferenciais / Comparativo,Critério 3 - Tema,"Plano de Ação Prático",Nome do critério 3,
DIF-11,Diferenciais / Comparativo,Critério 3 - Com Andréa,"Orientações claras para agir no seu ano pessoal: quando mudar de emprego, quando desacelerar, como lidar com crises.",Vantagem da consulta com Andréa,
DIF-12,Diferenciais / Comparativo,Critério 3 - Com Robôs/IA,"Nenhum direcionamento de vida; apenas descrições teóricas que deixam você com as mesmas dúvidas.",Desvantagem dos apps automáticos,
DIF-13,Diferenciais / Comparativo,Critério 4 - Tema,"Tira-Dúvidas e Suporte",Nome do critério 4,
DIF-14,Diferenciais / Comparativo,Critério 4 - Com Andréa,"Espaço aberto para fazer perguntas durante a sessão ao vivo e suporte pós-consulta no WhatsApp.",Vantagem da consulta com Andréa,
DIF-15,Diferenciais / Comparativo,Critério 4 - Com Robôs/IA,"Nenhum canal de suporte; o arquivo em PDF chega por e-mail e não há com quem conversar.",Desvantagem dos apps automáticos,
DIF-16,Diferenciais / Comparativo,Critério 5 - Tema,"Visão Holística Integrada",Nome do critério 5,
DIF-17,Diferenciais / Comparativo,Critério 5 - Com Andréa,"Une Numerologia Cabalística com vivência no Espiritismo, Reiki, Radiônica e o exclusivo Método C.A.L.M.A.",Vantagem da consulta com Andréa,
DIF-18,Diferenciais / Comparativo,Critério 5 - Com Robôs/IA,"Sistemas fechados sem nenhuma base terapêutica ou energética verdadeira.",Desvantagem dos apps automáticos,
DEP-01,Depoimentos,Badge da Seção,"Depoimentos Reais & Histórias de Transformação",Etiqueta no topo da seção de avaliações,
DEP-02,Depoimentos,Título da Seção,"A Voz de Quem Já Encontrou Clareza & Paz",Título H2 dos depoimentos,
DEP-03,Depoimentos,Subtítulo da Seção,"Mais de 1.500 pessoas já alinharam seus caminhos com Andréa Salgueiro. Veja o impacto da Numerologia Terapêutica na vida de nossos consulentes.",Apresentação de prova social,
DEP-04,Depoimento 1,Nome,"Mariana Albuquerque",Nome da consulente 1,
DEP-05,Depoimento 1,Profissão / Perfil,"Arquiteta e Empreendedora",Ocupação,
DEP-06,Depoimento 1,Local / Formato,"São Paulo - SP (Atendimento Presencial)",Modalidade do atendimento,
DEP-07,Depoimento 1,Destaque do Card,"Mudança de Carreira & Clareza",Etiqueta de resumo,
DEP-08,Depoimento 1,Depoimento Completo,"A consulta com a Andréa foi um divisor de águas absoluto na minha vida. Eu estava em uma encruzilhada profissional angustiante. Ela explicou com exatidão meu momento de Ano Pessoal 9 e me deu a coragem que faltava para encerrar um ciclo e fundar meu próprio escritório. A energia acolhedora do espaço dela em SP é inesquecível!",Relato da consulente,
DEP-09,Depoimento 2,Nome,"Carlos Eduardo & Beatriz",Nome dos consulentes 2,
DEP-10,Depoimento 2,Profissão / Perfil,"Casados há 8 anos",Perfil do casal,
DEP-11,Depoimento 2,Local / Formato,"Campinas - SP (Online via Zoom)",Modalidade do atendimento,
DEP-12,Depoimento 2,Destaque do Card,"Harmonização de Casal",Etiqueta de resumo,
DEP-13,Depoimento 2,Depoimento Completo,"Fizemos a Sinastria de Casal e parecia que a Andréa nos conhecia há 20 anos. Entendemos por que certos atritos se repetiam e aprendemos a respeitar o tempo de cada um. Salvou nosso casamento de um desgaste desnecessário. Vale cada minuto!",Relato dos consulentes,
DEP-14,Depoimento 3,Nome,"Dra. Renata Vasconcellos",Nome da consulente 3,
DEP-15,Depoimento 3,Profissão / Perfil,"Médica Psiquiatra",Ocupação,
DEP-16,Depoimento 3,Local / Formato,"Belo Horizonte - MG (Online)",Modalidade do atendimento,
DEP-17,Depoimento 3,Destaque do Card,"Precisão & Seriedade",Etiqueta de resumo,
DEP-18,Depoimento 3,Depoimento Completo,"Como profissional da saúde, sou naturalmente criteriosa. A seriedade, a precisão e a elegância da Andréa Salgueiro me impressionaram. Não é misticismo vazio; é autoconhecimento rigoroso e terapêutico de verdade.",Relato da consulente,
DEP-19,Depoimento 4,Nome,"Felipe Siqueira",Nome do consulente 4,
DEP-20,Depoimento 4,Profissão / Perfil,"Diretor Comercial",Ocupação,
DEP-21,Depoimento 4,Local / Formato,"São Paulo - SP (Presencial)",Modalidade do atendimento,
DEP-22,Depoimento 4,Destaque do Card,"Numerologia Empresarial",Etiqueta de resumo,
DEP-23,Depoimento 4,Depoimento Completo,"Fiz a Numerologia Empresarial antes de assinar o novo contrato social e alterar o nome da nossa startup. O alinhamento dos sócios fez a empresa decolar no primeiro semestre. A Andréa tem uma bagagem de comunicação e negócios que faz toda a diferença.",Relato do consulente,
FAQ-01,FAQ (Dúvidas),Badge da Seção,"Tire Suas Dúvidas",Etiqueta no topo da seção de dúvidas,
FAQ-02,FAQ (Dúvidas),Título da Seção,"Perguntas Frequentes",Título H2 do FAQ,
FAQ-03,FAQ (Dúvidas),Subtítulo da Seção,"Tudo o que você precisa saber sobre o agendamento, o formato da consulta e o cálculo do seu Mapa.",Apresentação do FAQ,
FAQ-04,FAQ - Pergunta 1,Pergunta,"Quanto tempo dura a consulta e como ela é conduzida?",Título da dúvida 1,
FAQ-05,FAQ - Pergunta 1,Resposta,"A consulta do Mapa Numerológico Pessoal tem duração média de 1h40 a 2 horas. É um encontro individual, exclusivo e sem pressa. Durante a sessão, Andréa analisa detalhadamente todas as vibrações do seu mapa, responde a todas as suas dúvidas e traça um plano de ação para os seus próximos ciclos.",Resposta da dúvida 1,
FAQ-06,FAQ - Pergunta 2,Pergunta,"Qual a diferença entre o atendimento Online e o Presencial em São Paulo?",Título da dúvida 2,
FAQ-07,FAQ - Pergunta 2,Resposta,"O conteúdo, a profundidade e a precisão dos cálculos são rigorosamente idênticos. No atendimento presencial (em consultório harmonizado em São Paulo/SP), você desfruta de um ambiente sensorial preparado especialmente para acolhimento e conexão. No atendimento online (via Zoom ou Google Meet com gravação inclusa), você participa no conforto da sua casa de qualquer lugar do Brasil ou exterior.",Resposta da dúvida 2,
FAQ-08,FAQ - Pergunta 3,Pergunta,"Quais informações são necessárias para o cálculo do Mapa?",Título da dúvida 3,
FAQ-09,FAQ - Pergunta 3,Resposta,"Precisamos apenas do seu nome de registro de nascimento completo (exatamente como consta na certidão original de nascimento, incluindo sobrenomes anteriores a casamentos) e da sua data de nascimento. Caso tenha alterado o nome por casamento ou adote um nome social/artístico, também analisamos essa assinatura.",Resposta da dúvida 3,
FAQ-10,FAQ - Pergunta 4,Pergunta,"Como funciona a entrega do material após a consulta?",Título da dúvida 4,
FAQ-11,FAQ - Pergunta 4,Resposta,"Você recebe a gravação completa da sessão em áudio de alta qualidade (para ouvir e revisitar sempre que quiser ao longo dos anos) além de um dossiê/mapa em PDF exclusivo e personalizado com todos os seus números, arquétipos e ciclos de vida documentados.",Resposta da dúvida 4,
FAQ-12,FAQ - Pergunta 5,Pergunta,"Quais são as formas de agendamento e pagamento?",Título da dúvida 5,
FAQ-13,FAQ - Pergunta 5,Resposta,"O agendamento é feito de forma personalizada diretamente pelo WhatsApp para alinharmos a melhor data na agenda. O pagamento pode ser realizado via PIX ou cartão de crédito parcelado, com confirmação prévia para reserva de horário.",Resposta da dúvida 5,
FAQ-14,FAQ - Pergunta 6,Pergunta,"A Numerologia Terapêutica tem ligação com alguma religião específica?",Título da dúvida 6,
FAQ-15,FAQ - Pergunta 6,Resposta,"Não. A Numerologia é uma ciência milenar e vibracional de autoconhecimento fundamentada em leis arquetípicas e energéticas. Pessoas de todas as fés, crenças ou até mesmo sem religião realizam o mapa para compreenderem suas dinâmicas psicológicas e seus ciclos de vida.",Resposta da dúvida 6,
FOOT-01,Rodapé,Descrição da Marca,"Conectando sabedoria milenar, sensibilidade humana e direcionamento prático para iluminar suas escolhas e revelar o verdadeiro mapa da sua alma.",Texto de missão no rodapé,
FOOT-02,Rodapé,Atendimento Presencial,"Consultório em São Paulo - SP (Bairro nobre com estacionamento e fácil acesso)",Detalhe do consultório,
FOOT-03,Rodapé,Atendimento Online,"Atendimentos via Zoom / Meet para todo o Brasil e exterior (Portugal, EUA, Europa)",Detalhe do atendimento remoto,
FOOT-04,Rodapé,Mensagem de Direitos Reservados,"Todos os direitos reservados. Andréa Salgueiro - Numerologia Terapêutica & Desenvolvimento Humano.",Texto final de copyright
